scenario,annual_drift_used,annual_sigma_used,expected_pnl,median_pnl,std_pnl,min_pnl,max_pnl,prob_of_profit,prob_loss_gt_half_premium,var_95,var_99,cvar_95,cvar_99,p05,p25,p50,p75,p95
risk_neutral,0.04,0.15004817245483398,-147.99802849928992,-927.6795047567387,1266.1000579699178,-1284.0,1616.000000000001,0.40575,0.5285,1284.0,1284.0,1284.0,1284.0,-1284.0,-1284.0,-927.6795047567387,1615.9999999999995,1616.0
real_world,0.3,0.14913735628883154,494.52159437422307,1286.2291117307766,1263.137027635037,-1284.0,1616.0000000000018,0.633,0.30605,1284.0,1284.0,1284.0,1284.0,-1284.0,-1284.0,1286.2291117307766,1616.0,1616.0000000000005
