spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
732.7233415622864,-1111.665843771365,743.0912480527498,-74.87519472501526
666.6384752486758,-1284.0,770.1650481146725,1616.0
756.2419951618781,1240.1995161878094,767.54546059322,1616.0
708.0212461118346,-1284.0,799.1383089462714,1616.0000000000005
698.5261033196048,-1284.0,787.9123136200623,1616.0000000000005
793.972941639364,1615.9999999999995,740.176955975622,-366.3044024377964
719.056383103091,-1284.0,733.417088804187,-1042.291119581304
752.1202909900466,828.0290990046556,663.6179758290879,-1284.0
709.5749332394992,-1284.0,711.7755235200216,-1284.0
750.6287725524536,678.8772552453597,705.2145350045625,-1284.0
723.4938179553616,-1284.0,761.6403440190431,1616.0
670.2405306503331,-1284.0,808.0587799419462,1616.0
703.8682074196244,-1284.0,795.8104519099373,1616.0000000000005
785.2625179925647,1616.0,726.6502054644648,-1284.0
832.5633427768183,1616.0,713.7129573665765,-1284.0
710.4476022370739,-1284.0,740.823311140593,-301.66888594070224
648.5823440936339,-1284.0,848.1627172850566,1616.0
820.4573732359515,1615.999999999999,712.0320961146094,-1284.0
778.9149705825893,1616.0000000000005,737.3665670228797,-647.3432977120265
786.6861622075002,1616.0000000000005,694.6576188440431,-1284.0
784.4485289173534,1616.0000000000005,750.028091291756,618.8091291756027
680.2702533981166,-1284.0,830.4814534083764,1615.999999999999
737.950469007887,-588.9530992112977,775.1183180484392,1615.9999999999995
777.6469361443988,1616.0,787.7995021891396,1616.0000000000005
777.3422489479935,1616.0,796.5907948331925,1615.9999999999995
748.3078056654915,446.78056654915144,815.799893845617,1616.0
835.0315935150222,1615.999999999999,722.4527010092794,-1284.0
779.0137140889645,1616.0000000000005,814.5157185755284,1616.0
721.2104705469623,-1284.0,785.1395414618415,1615.9999999999995
751.3807921318974,754.0792131897351,770.500200456405,1616.0
754.0412201119171,1020.1220111917141,698.6069734401883,-1284.0
708.3123347164792,-1284.0,739.3936351350666,-444.63648649334255
762.1078015889211,1616.0,752.0746292354154,823.4629235415387
775.3989510057833,1615.9999999999995,742.8447523063178,-99.52476936822131
700.3787082685919,-1284.0,758.2509981642391,1441.099816423915
798.4021990405678,1615.9999999999995,733.0408380265617,-1079.9161973438313
781.9274937189817,1615.9999999999995,823.199884603032,1616.0
687.4426616404202,-1284.0,808.3100447221691,1616.0
717.6483322368006,-1284.0,802.4803256528356,1616.0
735.9045161566884,-793.5483843311627,719.401489230393,-1284.0
755.744053276363,1190.4053276363047,753.045924655317,920.592465531698
690.9682512988664,-1284.0,750.676594008766,683.659400876596
789.7150415892977,1616.0,775.9315601610717,1616.0
721.5651735890835,-1284.0,744.7282093221418,88.82093221417654
756.4116790616335,1257.167906163355,765.6555044016128,1616.0
770.9321751959069,1616.0,758.5086486446661,1466.8648644666096
750.0230583913274,618.3058391327368,761.8876075575189,1616.0
745.988682643292,214.86826432920088,731.9733093785154,-1186.669062148459
