Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-05-15,412.2200012207031,413.42999267578125,410.2300109863281,413.010009765625,397.4420166015625,54289400,0.0,0.0,0.0
2023-05-16,411.8599853515625,412.82000732421875,410.239990234375,410.25,394.7860107421875,57705500,0.0,0.0,0.0
2023-05-17,412.3500061035156,415.8599853515625,410.6400146484375,415.2300109863281,399.578369140625,87287000,0.0,0.0,0.0
2023-05-18,414.8999938964844,419.6700134277344,414.6700134277344,419.2300109863281,403.4275817871094,97177200,0.0,0.0,0.0
2023-05-19,420.1700134277344,420.7200012207031,417.3500061035156,418.6199951171875,402.84051513671875,103793300,0.0,0.0,0.0
2023-05-22,418.6400146484375,420.3900146484375,417.3500061035156,418.7900085449219,403.0041198730469,60745400,0.0,0.0,0.0
2023-05-23,417.0799865722656,418.7200012207031,413.67999267578125,414.0899963378906,398.4812927246094,86383500,0.0,0.0,0.0
2023-05-24,412.4200134277344,412.82000732421875,409.8800048828125,411.0899963378906,395.5943603515625,89213700,0.0,0.0,0.0
2023-05-25,414.739990234375,416.1600036621094,412.4100036621094,414.6499938964844,399.0201416015625,90961600,0.0,0.0,0.0
2023-05-26,415.3299865722656,420.7699890136719,415.25,420.0199890136719,404.187744140625,93830000,0.0,0.0,0.0
2023-05-30,422.0299987792969,422.5799865722656,418.739990234375,420.17999267578125,404.3416748046875,72216000,0.0,0.0,0.0
2023-05-31,418.2799987792969,419.2200012207031,416.2200012207031,417.8500061035156,402.09954833984375,110811800,0.0,0.0,0.0
2023-06-01,418.0899963378906,422.9200134277344,416.7900085449219,421.82000732421875,405.919921875,88865000,0.0,0.0,0.0
2023-06-02,424.5,428.739990234375,423.95001220703125,427.9200134277344,411.7900085449219,91426200,0.0,0.0,0.0
2023-06-05,428.2799987792969,429.6199951171875,426.3699951171875,427.1000061035156,411.0008850097656,65460200,0.0,0.0,0.0
2023-06-06,426.6700134277344,428.5799865722656,425.989990234375,428.0299987792969,411.8958740234375,64022200,0.0,0.0,0.0
2023-06-07,428.44000244140625,429.6199951171875,426.1099853515625,426.54998779296875,410.4715881347656,85373300,0.0,0.0,0.0
2023-06-08,426.6199951171875,429.6000061035156,425.82000732421875,429.1300048828125,412.9543762207031,61952800,0.0,0.0,0.0
2023-06-09,429.9599914550781,431.989990234375,428.8699951171875,429.8999938964844,413.6954040527344,85742800,0.0,0.0,0.0
