Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,log_return,rv20,rv60,rv120,ma20,ma60
2024-05-08,515.260009765625,517.739990234375,515.1400146484375,517.1900024414062,504.9021911621094,42047200,0.0,0.0,0.0,,,,,,
2024-05-09,517.3800048828125,520.2100219726562,516.7100219726562,520.1699829101562,507.8114013671875,43643700,0.0,0.0,0.0,0.005745331819169011,,,,,
2024-05-10,521.8099975585938,522.6400146484375,519.5900268554688,520.8400268554688,508.46551513671875,52233200,0.0,0.0,0.0,0.0012872960520189931,,,,,
2024-05-13,522.5599975585938,522.6699829101562,519.739990234375,520.9099731445312,508.53375244140625,36716400,0.0,0.0,0.0,0.00013428613231119228,,,,,
2024-05-14,521.1099853515625,523.8300170898438,520.5599975585938,523.2999877929688,510.86700439453125,57535900,0.0,0.0,0.0,0.004577659496461211,,,,,
2024-05-15,525.8300170898438,530.0800170898438,525.1799926757812,529.780029296875,517.1931762695312,59504900,0.0,0.0,0.0,0.012306991279978533,,,,,
2024-05-16,529.8800048828125,531.52001953125,528.5399780273438,528.6900024414062,516.1289672851562,50244800,0.0,0.0,0.0,-0.0020596279688887354,,,,,
2024-05-17,528.8099975585938,529.52001953125,527.3200073242188,529.4500122070312,516.8709106445312,59187600,0.0,0.0,0.0,0.0014365015702952906,,,,,
2024-05-20,529.5700073242188,531.5599975585938,529.1699829101562,530.0599975585938,517.4664306640625,37764200,0.0,0.0,0.0,0.0011514481474172668,,,,,
2024-05-21,529.280029296875,531.52001953125,529.0700073242188,531.3599853515625,518.7354736328125,33437000,0.0,0.0,0.0,0.0024495269806736565,,,,,
2024-05-22,530.6500244140625,531.3800048828125,527.5999755859375,529.8300170898438,517.2418212890625,48390000,0.0,0.0,0.0,-0.0028834974288917308,,,,,
2024-05-23,532.9600219726562,533.0700073242188,524.719970703125,525.9600219726562,513.4638671875,57211200,0.0,0.0,0.0,-0.0073310266367182745,,,,,
2024-05-24,527.8499755859375,530.27001953125,526.8800048828125,529.4400024414062,516.8612670898438,41291100,0.0,0.0,0.0,0.006594642789596251,,,,,
2024-05-28,530.27001953125,530.510009765625,527.1099853515625,529.8099975585938,517.2222900390625,36269600,0.0,0.0,0.0,0.0006985983143454546,,,,,
2024-05-29,525.6799926757812,527.3099975585938,525.3699951171875,526.0999755859375,513.6004638671875,45190300,0.0,0.0,0.0,-0.007027184767931233,,,,,
2024-05-30,524.52001953125,525.2000122070312,521.3300170898438,522.6099853515625,510.19342041015625,46377600,0.0,0.0,0.0,-0.006655802363201398,,,,,
2024-05-31,523.5900268554688,527.5,518.3599853515625,527.3699951171875,514.8403930664062,90785800,0.0,0.0,0.0,0.0090669202532969,,,,,
