Date,spot,position_open,mtm,cash,equity,rv20,delta_exposure,gamma_exposure,vega_exposure,theta_exposure
2024-06-06,534.6599731445312,False,0.0,100000.0,100000.0,0.08838444674781885,0.0,0.0,0.0,0.0
2024-06-07,534.010009765625,True,0.0,100000.0,100000.0,0.0875684556907046,0.0,0.0,0.0,0.0
2024-06-10,535.6599731445312,True,32.203233257671116,100000.0,100032.20323325768,0.08779368458261586,-5.156237545965153,-4.036221389880019,-82.25001967887032,14.927532824704514
2024-06-11,536.9500122070312,True,33.79254523967745,100000.0,100033.79254523967,0.08772855413562501,-10.121259785806547,-4.060062240678048,-80.13423320253521,15.407777525648514
2024-06-12,541.3599853515625,True,-70.2874595126751,100000.0,99929.71254048732,0.09028975784847369,-27.48220370619246,-3.9267702650413203,-78.61496526882154,17.298544798982
2024-06-13,542.4500122070312,True,-15.165181921079807,100000.0,99984.83481807892,0.08117916825306422,-32.40332832599308,-4.1117076064702625,-71.21926461166717,15.199669212156408
2024-06-14,542.780029296875,True,-5.319449667799958,100000.0,99994.6805503322,0.08031409656976868,-33.68434926242454,-4.158983914628643,-68.35877030158312,15.152248712683978
2024-06-17,547.0999755859375,True,-176.0139104320503,100000.0,99823.98608956794,0.08367868150642838,-50.48827722195638,-3.8807954689208577,-59.41809724953184,16.85883100884032
2024-06-18,548.489990234375,True,-237.2630733577756,100000.0,99762.73692664222,0.08371605726285854,-55.84574645355804,-3.767044723132848,-55.33801160580648,16.97179050044273
2024-06-20,547.0,True,-128.11473488302792,100000.0,99871.88526511697,0.0851091684807168,-50.192725888515945,-4.059719185676473,-53.60746206345864,17.92013857041285
2024-06-21,544.510009765625,True,1.048337116515441,100000.0,100001.04833711652,0.08644137537296658,-39.71555994684606,-4.3124059988797985,-53.46094151886571,18.30109113003588
2024-06-24,542.739990234375,True,145.07189956831414,100000.0,100145.07189956831,0.0821046669024699,-30.813036300350394,-4.667892837774426,-43.77684451180858,16.901920603822226
2024-06-25,544.8300170898438,True,90.81801319118439,100000.0,100090.81801319118,0.080435527678137,-40.32566524974735,-4.895869012771476,-42.020314151349204,17.80484954975268
2024-06-26,545.510009765625,True,79.05654093699033,100000.0,100079.05654093699,0.08039267839823153,-43.337499380679816,-5.0434295500123545,-39.80925522979923,18.51032850210819
2024-06-27,546.3699951171875,True,58.491760906674585,100000.0,100058.49176090668,0.07388286230092461,-47.43551440662335,-5.223010003615922,-37.522856750573474,19.30563010172501
2024-06-28,544.219970703125,True,172.04122695685447,100000.0,100172.04122695685,0.0702595467994719,-35.352837647906426,-5.3501859481621965,-33.80134508093227,18.359937666367994
2024-07-01,545.3400268554688,False,0.0,100184.19659705284,100184.19659705284,0.06516353461659931,0.0,0.0,0.0,0.0
2024-07-02,549.010009765625,False,0.0,100184.19659705284,100184.19659705284,0.06744818831183849,0.0,0.0,0.0,0.0
2024-07-03,551.4600219726562,False,0.0,100184.19659705284,100184.19659705284,0.06792635131859726,0.0,0.0,0.0,0.0
2024-07-05,554.6400146484375,True,0.0,100184.19659705284,100184.19659705284,0.059332930162823795,0.0,0.0,0.0,0.0
2024-07-08,555.280029296875,True,38.3177030487289,100184.19659705284,100222.51430010157,0.05899255290610586,-1.7118361731567278,-4.254122263026846,-84.73824619717774,13.810880839489764
2024-07-09,555.8200073242188,True,49.05301591507083,100184.19659705284,100233.2496129679,0.05796565549298952,-3.708321858868746,-4.281980581900857,-82.35309403907077,14.071651872052316
2024-07-10,561.3200073242188,True,-38.68270749903431,100184.19659705284,100145.51388955381,0.06426840210168741,-26.941765958258756,-4.213993312109539,-80.21767944095059,15.799579002826745
2024-07-11,556.47998046875,True,72.3120539567418,100184.19659705284,100256.50865100959,0.07519229733359538,-5.9332166537575,-4.3323351865792725,-77.14882198771875,14.428970758405562
2024-07-12,559.989990234375,True,28.939542779379224,100184.19659705284,100213.13613983222,0.07333592421415203,-20.9183057062194,-4.340424184255919,-75.38060341805839,15.689371712167322
2024-07-15,561.530029296875,True,35.31325508283203,100184.19659705284,100219.50985213567,0.07342475924612603,-27.00748237796572,-4.418244356661469,-67.1619959227662,16.439922762477163
2024-07-16,564.8599853515625,True,-71.77185150361645,100184.19659705284,100112.42474554923,0.07475354344169696,-41.320386595423926,-4.283649535525178,-63.076047767048436,17.25886086494081
2024-07-17,556.9400024414062,True,81.6839027639233,100184.19659705284,100265.88049981676,0.0907892694861421,-6.304666099504075,-4.346929647810841,-66.10307716010077,18.663849513981358
2024-07-18,552.6599731445312,True,67.54206136301661,100184.19659705284,100251.73865841585,0.09549520379616593,12.313858167256392,-4.21806225283843,-62.51902547157773,18.436610690819837
2024-07-19,548.989990234375,True,5.237299961556374,100184.19659705284,100189.4338970144,0.09817975779508631,27.909184846986378,-4.059894708418918,-57.287278352000314,17.449719112514504
2024-07-22,554.6500244140625,True,115.25721079525653,100184.19659705284,100299.4538078481,0.10267206697532397,5.123336179628013,-4.30666240603178,-53.01546863679384,22.646663448234694
2024-07-23,553.780029296875,True,137.95430203503471,100184.19659705284,100322.15089908788,0.1019337072965195,9.332541653864935,-4.277083293964661,-48.13931346047262,21.88059804330885
2024-07-24,541.22998046875,True,-386.2615057309474,100184.19659705284,99797.9350913219,0.13192341817593337,56.91390970380847,-3.3096618922943426,-41.18098274262476,22.955700828302508
2024-07-25,538.4099731445312,True,-536.3299980220748,100184.19659705284,99647.86659903076,0.13289256352513476,67.24686781102929,-3.017295043028249,-33.743346098846125,19.70847134714287
2024-07-26,544.4400024414062,True,-206.3259963014893,100184.19659705284,99977.87060075135,0.13920573207342568,46.717954238750295,-3.664464382097797,-40.208551501876386,30.73686291181997
2024-07-29,544.760009765625,True,-90.87007877801545,100184.19659705284,100093.32651827483,0.13850731015338422,48.554035606337756,-4.039164389472527,-29.70468586177844,34.40936873992283
2024-07-30,542.0,True,-203.43170386619818,100184.19659705284,99980.76489318664,0.13944898836320324,61.02417107896096,-4.074419966301349,-24.621706598497468,33.3002081296668
2024-07-31,550.8099975585938,True,162.9584982622191,100184.19659705284,100347.15509531506,0.1493835695294378,23.842524956619233,-4.153932387310705,-22.911390022515313,46.19262437876303
2024-08-01,543.010009765625,True,-103.67490977577071,100184.19659705284,100080.52168727707,0.15684170811390108,58.67381660989014,-4.674506941018868,-19.243213040854496,50.944750067752096
2024-08-02,532.9000244140625,False,0.0,99287.64367166293,99287.64367166293,0.1671626787454545,0.0,0.0,0.0,0.0
2024-08-05,517.3800048828125,False,0.0,99287.64367166293,99287.64367166293,0.19302326765749914,0.0,0.0,0.0,0.0
2024-08-06,522.1500244140625,False,0.0,99287.64367166293,99287.64367166293,0.19770491940841214,0.0,0.0,0.0,0.0
2024-08-07,518.6599731445312,False,0.0,99287.64367166293,99287.64367166293,0.19194835162413684,0.0,0.0,0.0,0.0
2024-08-08,530.6500244140625,False,0.0,99287.64367166293,99287.64367166293,0.21312492767858238,0.0,0.0,0.0,0.0
2024-08-09,532.989990234375,True,0.0,99287.64367166293,99287.64367166293,0.21221044421174282,0.0,0.0,0.0,0.0
2024-08-12,533.27001953125,True,108.44740842908465,99287.64367166293,99396.09108009201,0.2116318750299782,3.0057652949491476,-1.6613411328822714,-80.90159628335383,34.510938119041946
2024-08-13,542.0399780273438,True,0.25979450828259587,99287.64367166293,99287.9034661712,0.22021330280143855,-11.558422596774554,-1.637419209353301,-82.9903814453763,39.33100356601393
2024-08-14,543.75,True,47.58371478087895,99287.64367166293,99335.2273864438,0.21616616698767185,-14.225360077275395,-1.6546621773626586,-79.70669819505474,38.76997714720076
2024-08-15,553.0700073242188,True,-214.06189830246802,99287.64367166293,99073.58177336046,0.22394162883529528,-29.152551170505724,-1.5748541887014071,-78.65256809875004,42.419645126768316
2024-08-16,554.3099975585938,True,-202.4061944145906,99287.64367166293,99085.23747724833,0.22263486645689579,-31.169683147958477,-1.5829825466966354,-75.70007142711141,42.50655035331876
2024-08-19,559.6099853515625,True,-275.8207507568983,99287.64367166293,99011.82292090602,0.2222184420060325,-39.72746595384156,-1.5749414133114041,-66.85172979434459,43.734620698042306
