spot_at_near_expiry,strategy_value,pnl
79.3650016784668,1.3579103429523758,-502.6420896570476
79.72575168609619,1.4663740754997905,-502.5336259245002
80.08650169372558,1.5822928935827152,-502.4177071064173
80.44725170135499,1.7060879865592904,-502.2939120134407
80.80800170898438,1.8381983504173527,-502.1618016495826
81.16875171661377,1.9790812057307205,-502.0209187942693
81.52950172424316,2.1292124093787668,-501.8707875906212
81.89025173187255,2.28908685922124,-501.71091314077876
82.25100173950196,2.4592188909181023,-501.5407811090819
82.61175174713135,2.640142666083256,-501.35985733391675
82.97250175476074,2.8324125509602838,-501.16758744903973
83.33325176239013,3.036603484812944,-500.96339651518707
83.69400177001953,3.253311337226583,-500.7466886627734
84.05475177764893,3.4831532535236187,-500.5168467464764
84.41550178527832,3.726767987503221,-500.2732320124968
84.77625179290771,3.9848162207294258,-500.01518377927056
85.1370018005371,4.257980867597599,-499.7420191324024
85.4977518081665,4.5469673654305325,-499.45303263456947
85.8585018157959,4.852503948865905,-499.1474960511341
86.2192518234253,5.17534190781509,-498.8246580921849
86.58000183105469,5.516255828296634,-498.4837441717034
86.94075183868408,5.876043815461873,-498.12395618453814
87.30150184631347,6.255527698159524,-497.74447230184046
87.66225185394288,6.655553214405718,-497.3444467855943
88.02300186157227,7.076990177152609,-496.9230098228474
88.38375186920166,7.520732619778392,-496.4792673802216
88.74450187683105,7.987698920744446,-496.01230107925556
89.10525188446044,8.47883190690235,-495.52116809309763
89.46600189208985,8.995098934957646,-495.00490106504236
89.82675189971924,9.537491950633958,-494.462508049366
90.18750190734863,10.107027525113033,-493.89297247488696
90.54825191497802,10.70474686835816,-493.29525313164186
90.90900192260742,11.331715818969634,-492.66828418103034
91.26975193023682,11.989024810247262,-492.01097518975274
91.63050193786621,12.677788812182733,-491.3222111878173
91.9912519454956,13.399147249131316,-490.6008527508687
92.352001953125,14.154263892960772,-489.8457361070392
92.71275196075439,14.944326731501189,-489.0556732684988
93.0735019683838,15.770547812170932,-488.22945218782905
93.43425197601319,16.634163060683615,-487.3658369393164
93.79500198364258,17.536432074784834,-486.46356792521516
94.15575199127197,18.478637893002148,-485.52136210699786
94.51650199890136,19.462086738438387,-484.5379132615616
94.87725200653077,20.48810773766818,-483.5118922623318
95.23800201416016,21.55805261484325,-482.44194738515677
95.59875202178955,22.673295361149172,-481.32670463885086
95.95950202941894,23.83523187979226,-480.1647681202077
96.32025203704833,25.045279606736457,-478.95472039326353
96.68100204467774,26.30487710744149,-477.6951228925585
97.04175205230713,27.61548364990052,-476.3845163500995
97.40250205993652,28.978578754301097,-475.0214212456989
97.76325206756592,30.395661719675672,-473.6043382803243
98.1240020751953,31.868251127932766,-472.13174887206725
98.48475208282471,33.39788432571509,-470.6021156742849
98.8455020904541,34.9861168845309,-469.01388311546907
99.2062520980835,36.63452203966786,-467.36547796033216
99.56700210571289,38.344690108414966,-465.65530989158503
99.92775211334228,40.118227888137525,-463.88177211186246
100.28850212097169,41.956758034807784,-462.04324196519224
100.64925212860108,43.86191842258693,-460.13808157741306
101.01000213623047,45.835361485108365,-458.16463851489164
101.37075214385986,47.878753539117724,-456.1212464608823
101.73150215148925,49.99377409115748,-454.0062259088425
102.09225215911866,52.182115128008455,-451.81788487199157
102.45300216674805,54.44548039160981,-449.5545196083902
102.81375217437744,56.7855846392149,-447.2144153607851
