strategy,net_premium,delta,gamma,vega,theta,rho,max_profit,max_loss,breakevens,prob_of_profit,expected_pnl,var_95,cvar_95,near_expiry,far_expiry
Short Straddle,-2363.0,-10.27495164097575,-2.6650698526303245,-32.73387311144086,39.12025914614921,0.7235551425097455,2356.925304412841,-4160.500442504883,"[120.37, 167.63]",0.57595,-22.018848380382554,3473.9585634061127,5146.126568312163,2026-06-12,
Short Strangle,-1202.0,-10.506112256191209,-2.267985145405603,-28.804298147381,35.66795355858145,-0.25810954679246967,1202.0,-3761.4998321533203,"[116.98, 172.02]",0.63305,-8.80143497862607,3245.866043748689,4985.659977245725,2026-06-12,
Iron Condor,-375.0,-5.046756867329407,-0.7818150091607331,-9.732553978399068,11.769780642086197,-0.29034011386679914,375.0,-1625.0000000000002,"[111.25, 178.75]",0.70505,-62.96803414700695,1625.0,1625.0,2026-06-12,
Calendar Spread,504.0,1.8755042198801206,-0.42037522038679187,7.5565354056012914,6.559777047124788,6.072119587210464,704.3891245479706,-502.6420896570476,"[127.81, 166.06]",0.49335,29.574533269712422,445.497530597354,476.0776753703019,2026-06-12,2026-07-17
