spot_at_near_expiry,strategy_value,pnl
79.3650016784668,-4963.49983215332,-3761.4998321533203
79.72575168609619,-4927.424831390381,-3725.424831390381
80.08650169372558,-4891.349830627442,-3689.3498306274423
80.44725170135499,-4855.274829864501,-3653.274829864501
80.80800170898438,-4819.1998291015625,-3617.1998291015625
81.16875171661377,-4783.124828338623,-3581.124828338623
81.52950172424316,-4747.049827575684,-3545.0498275756836
81.89025173187255,-4710.974826812745,-3508.974826812745
82.25100173950196,-4674.899826049804,-3472.899826049804
82.61175174713135,-4638.824825286865,-3436.8248252868652
82.97250175476074,-4602.749824523926,-3400.749824523926
83.33325176239013,-4566.674823760986,-3364.6748237609863
83.69400177001953,-4530.599822998048,-3328.599822998048
84.05475177764893,-4494.5248222351065,-3292.5248222351065
84.41550178527832,-4458.449821472168,-3256.449821472168
84.77625179290771,-4422.3748207092285,-3220.3748207092285
85.1370018005371,-4386.299819946289,-3184.299819946289
85.4977518081665,-4350.2248191833505,-3148.2248191833505
85.8585018157959,-4314.149818420409,-3112.1498184204092
86.2192518234253,-4278.074817657471,-3076.0748176574707
86.58000183105469,-4241.999816894531,-3039.9998168945312
86.94075183868408,-4205.924816131592,-3003.924816131592
87.30150184631347,-4169.849815368653,-2967.8498153686533
87.66225185394288,-4133.774814605712,-2931.774814605712
88.02300186157227,-4097.699813842773,-2895.6998138427734
88.38375186920166,-4061.624813079834,-2859.624813079834
88.74450187683105,-4025.549812316895,-2823.549812316895
89.10525188446044,-3989.4748115539555,-2787.4748115539555
89.46600189208985,-3953.399810791015,-2751.399810791015
89.82675189971924,-3917.3248100280757,-2715.3248100280757
90.18750190734863,-3881.2498092651367,-2679.2498092651367
90.54825191497802,-3845.1748085021977,-2643.1748085021977
90.90900192260742,-3809.0998077392583,-2607.0998077392583
91.26975193023682,-3773.024806976318,-2571.024806976318
91.63050193786621,-3736.9498062133785,-2534.9498062133785
91.9912519454956,-3700.8748054504395,-2498.8748054504395
92.352001953125,-3664.7998046875005,-2462.7998046875005
92.71275196075439,-3628.724803924561,-2426.724803924561
93.0735019683838,-3592.6498031616206,-2390.6498031616206
93.43425197601319,-3556.574802398681,-2354.574802398681
93.79500198364258,-3520.499801635742,-2318.499801635742
94.15575199127197,-3484.424800872803,-2282.424800872803
94.51650199890136,-3448.3498001098637,-2246.3498001098637
94.87725200653077,-3412.2747993469234,-2210.2747993469234
95.23800201416016,-3376.199798583984,-2174.199798583984
95.59875202178955,-3340.124797821045,-2138.124797821045
95.95950202941894,-3304.049797058106,-2102.049797058106
96.32025203704833,-3267.9747962951665,-2065.9747962951665
96.68100204467774,-3231.899795532226,-2029.899795532226
97.04175205230713,-3195.8247947692867,-1993.8247947692867
97.40250205993652,-3159.7497940063477,-1957.7497940063477
97.76325206756592,-3123.6747932434087,-1921.6747932434087
98.1240020751953,-3087.599792480469,-1885.5997924804692
98.48475208282471,-3051.524791717529,-1849.5247917175288
98.8455020904541,-3015.4497909545894,-1813.4497909545894
99.2062520980835,-2979.3747901916504,-1777.3747901916504
99.56700210571289,-2943.2997894287114,-1741.2997894287114
99.92775211334228,-2907.224788665772,-1705.224788665772
100.28850212097169,-2871.1497879028316,-1669.1497879028316
100.64925212860108,-2835.074787139892,-1633.0747871398921
101.01000213623047,-2798.999786376953,-1596.9997863769531
101.37075214385986,-2762.924785614014,-1560.9247856140141
101.73150215148925,-2726.8497848510747,-1524.8497848510747
102.09225215911866,-2690.7747840881343,-1488.7747840881343
102.45300216674805,-2654.699783325195,-1452.6997833251949
102.81375217437744,-2618.624782562256,-1416.6247825622559
103.17450218200683,-2582.549781799317,-1380.5497817993169
103.53525218963622,-2546.4747810363774,-1344.4747810363774
103.89600219726563,-2510.399780273437,-1308.399780273437
104.25675220489502,-2474.3247795104976,-1272.3247795104976
104.61750221252441,-2438.2497787475586,-1236.2497787475586
104.9782522201538,-2402.1747779846196,-1200.1747779846196
105.3390022277832,-2366.09977722168,-1164.0997772216801
105.6997522354126,-2330.02477645874,-1128.0247764587398
106.060502243042,-2293.9497756958003,-1091.9497756958003
106.42125225067139,-2257.8747749328613,-1055.8747749328613
106.78200225830078,-2221.7997741699223,-1019.7997741699223
107.14275226593017,-2185.724773406983,-983.7247734069829
107.50350227355958,-2149.6497726440425,-947.6497726440425
107.86425228118897,-2113.574771881103,-911.5747718811031
108.22500228881836,-2077.499771118164,-875.4997711181641
108.58575229644775,-2041.4247703552248,-839.4247703552248
108.94650230407714,-2005.3497695922856,-803.3497695922856
109.30725231170655,-1969.2747688293452,-767.2747688293452
109.66800231933594,-1933.199768066406,-731.199768066406
110.02875232696533,-1897.1247673034668,-695.1247673034668
110.38950233459472,-1861.0497665405276,-659.0497665405276
110.75025234222412,-1824.9747657775883,-622.9747657775883
111.11100234985352,-1788.899765014648,-586.899765014648
111.4717523574829,-1752.8247642517101,-550.8247642517101
111.8325023651123,-1716.7497634887695,-514.7497634887695
112.1932523727417,-1680.6747627258303,-478.6747627258303
112.55400238037109,-1644.599761962891,-442.5997619628911
112.9147523880005,-1608.5247611999507,-406.5247611999507
113.27550239562987,-1572.4497604370129,-370.44976043701286
113.63625240325928,-1536.3747596740723,-334.37475967407227
113.99700241088867,-1500.299758911133,-298.29975891113304
114.35775241851806,-1464.2247581481938,-262.2247581481938
114.71850242614747,-1428.1497573852535,-226.14975738525345
115.07925243377684,-1392.0747566223156,-190.0747566223156
115.44000244140625,-1355.999755859375,-153.999755859375
115.80075244903564,-1319.9247550964358,-117.92475509643577
116.16150245666503,-1283.8497543334965,-81.84975433349655
116.52225246429444,-1247.7747535705562,-45.774753570556186
116.88300247192382,-1211.6997528076183,-9.699752807618324
117.24375247955322,-1175.6247520446777,26.375247955322266
117.60450248718261,-1139.5497512817385,62.45024871826149
117.965252494812,-1103.4747505187993,98.52524948120072
118.32600250244141,-1067.399749755859,134.60025024414108
118.68675251007079,-1031.324748992921,170.67525100707894
119.0475025177002,-995.2497482299805,206.75025177001953
119.40825252532959,-959.1747474670412,242.82525253295876
119.76900253295898,-923.0997467041021,278.90025329589787
120.12975254058838,-887.0247459411615,314.97525405883846
120.49050254821776,-850.9497451782238,351.0502548217762
120.85125255584717,-814.8747444152832,387.1252555847168
121.21200256347656,-778.799743652344,423.200256347656
121.57275257110595,-742.7247428894049,459.27525711059513
121.93350257873536,-706.6497421264643,495.3502578735357
122.29425258636473,-670.5747413635265,531.4252586364735
122.65500259399414,-634.4997406005859,567.5002593994141
123.01575260162353,-598.4247398376467,603.5752601623533
123.37650260925292,-562.3497390747076,639.6502609252924
123.73725261688233,-526.274738311767,675.725261688233
124.09800262451171,-490.19973754882926,711.8002624511707
124.45875263214111,-454.1247367858887,747.8752632141113
124.8195026397705,-418.0497360229495,783.9502639770506
125.1802526473999,-381.97473526001033,820.0252647399897
125.5410026550293,-345.89973449706974,856.1002655029303
125.90175266265868,-309.824733734132,892.175266265868
126.26250267028809,-273.7497329711914,928.2502670288086
126.62325267791748,-237.67473220825224,964.3252677917478
126.98400268554687,-201.59973144531307,1000.4002685546869
127.34475269317628,-165.52473068237248,1036.4752693176274
127.70550270080565,-129.44972991943473,1072.5502700805653
128.06625270843506,-93.37472915649414,1108.6252708435059
128.42700271606446,-57.29972839355355,1144.7002716064464
128.78775272369384,-21.224727630615803,1180.7752723693843
129.14850273132325,0.0,1202.0
129.50925273895263,0.0,1202.0
129.87000274658203,0.0,1202.0
130.23075275421144,0.0,1202.0
130.59150276184081,0.0,1202.0
130.95225276947022,0.0,1202.0
131.3130027770996,0.0,1202.0
131.673752784729,0.0,1202.0
132.0345027923584,0.0,1202.0
132.3952527999878,0.0,1202.0
132.7560028076172,0.0,1202.0
133.11675281524657,0.0,1202.0
133.47750282287598,0.0,1202.0
133.83825283050538,0.0,1202.0
134.19900283813476,0.0,1202.0
134.55975284576417,0.0,1202.0
134.92050285339354,0.0,1202.0
135.28125286102295,0.0,1202.0
135.64200286865236,0.0,1202.0
136.00275287628173,0.0,1202.0
136.36350288391114,0.0,1202.0
136.72425289154052,0.0,1202.0
137.08500289916992,0.0,1202.0
137.44575290679933,0.0,1202.0
137.8065029144287,0.0,1202.0
138.1672529220581,0.0,1202.0
138.5280029296875,0.0,1202.0
138.8887529373169,0.0,1202.0
139.2495029449463,0.0,1202.0
139.61025295257568,0.0,1202.0
139.97100296020508,0.0,1202.0
140.33175296783446,0.0,1202.0
140.69250297546387,0.0,1202.0
141.05325298309327,0.0,1202.0
141.41400299072265,0.0,1202.0
141.77475299835206,0.0,1202.0
142.13550300598143,0.0,1202.0
142.49625301361084,0.0,1202.0
142.85700302124025,0.0,1202.0
143.21775302886962,0.0,1202.0
143.578503036499,0.0,1202.0
143.9392530441284,0.0,1202.0
144.3000030517578,0.0,1202.0
144.66075305938722,0.0,1202.0
145.0215030670166,0.0,1202.0
145.38225307464597,0.0,1202.0
145.74300308227538,0.0,1202.0
146.10375308990479,0.0,1202.0
146.4645030975342,0.0,1202.0
146.82525310516357,0.0,1202.0
147.18600311279295,0.0,1202.0
147.54675312042235,0.0,1202.0
147.90750312805176,0.0,1202.0
148.26825313568116,0.0,1202.0
148.62900314331054,0.0,1202.0
148.98975315093992,0.0,1202.0
149.35050315856932,0.0,1202.0
149.71125316619873,0.0,1202.0
150.07200317382814,0.0,1202.0
150.4327531814575,0.0,1202.0
150.7935031890869,0.0,1202.0
151.1542531967163,0.0,1202.0
151.5150032043457,0.0,1202.0
151.8757532119751,0.0,1202.0
152.2365032196045,0.0,1202.0
152.59725322723386,0.0,1202.0
152.95800323486327,0.0,1202.0
153.31875324249268,0.0,1202.0
153.67950325012208,0.0,1202.0
154.04025325775146,0.0,1202.0
154.40100326538084,0.0,1202.0
154.76175327301024,0.0,1202.0
155.12250328063965,0.0,1202.0
155.48325328826905,0.0,1202.0
155.84400329589843,0.0,1202.0
156.2047533035278,0.0,1202.0
156.56550331115722,0.0,1202.0
156.92625331878662,0.0,1202.0
157.28700332641603,0.0,1202.0
157.6477533340454,0.0,1202.0
158.00850334167478,0.0,1202.0
158.3692533493042,0.0,1202.0
158.7300033569336,0.0,1202.0
159.090753364563,0.0,1202.0
159.45150337219238,0.0,1202.0
159.81225337982175,0.0,1202.0
160.17300338745116,-17.30033874511605,1184.699661254884
160.53375339508057,-53.37533950805664,1148.6246604919434
160.89450340270997,-89.45034027099723,1112.5496597290028
161.25525341033935,-125.52534103393498,1076.474658966065
161.61600341796873,-161.60034179687273,1040.3996582031273
161.97675342559813,-197.67534255981332,1004.3246574401867
162.33750343322754,-233.7503433227539,968.2496566772461
162.69825344085694,-269.8253440856945,932.1746559143055
163.05900344848632,-305.90034484863224,896.0996551513678
163.4197534561157,-341.97534561157,860.02465438843
163.7805034637451,-378.0503463745106,823.9496536254894
164.1412534713745,-414.1253471374512,787.8746528625488
164.50200347900392,-450.20034790039176,751.7996520996082
164.8627534866333,-486.2753486633295,715.7246513366705
165.22350349426267,-522.3503494262673,679.6496505737327
165.58425350189208,-558.4253501892078,643.5746498107922
165.94500350952148,-594.5003509521484,607.4996490478516
166.3057535171509,-630.575351715089,571.424648284911
166.66650352478027,-666.6503524780268,535.3496475219732
167.02725353240965,-702.7253532409645,499.2746467590355
167.38800354003905,-738.8003540039051,463.1996459960949
167.74875354766846,-774.8753547668457,427.1246452331543
168.10950355529786,-810.9503555297863,391.0496444702137
168.47025356292724,-847.025356292724,354.97464370727596
168.83100357055662,-883.1003570556618,318.8996429443382
169.19175357818602,-919.1753578186024,282.8246421813976
169.55250358581543,-955.250358581543,246.74964141845703
169.91325359344484,-991.3253593444836,210.67464065551644
170.2740036010742,-1027.4003601074214,174.59963989257858
170.6347536087036,-1063.475360870359,138.52463912964095
170.995503616333,-1099.5503616332996,102.44963836670036
171.3562536239624,-1135.6253623962402,66.37463760375977
171.7170036315918,-1171.7003631591808,30.299636840819176
172.07775363922119,-1207.7753639221187,-5.775363922118686
172.43850364685056,-1243.8503646850563,-41.85036468505632
172.79925365447997,-1279.925365447997,-77.92536544799691
173.16000366210938,-1316.0003662109375,-114.0003662109375
173.52075366973878,-1352.075366973878,-150.0753669738781
173.88150367736816,-1388.150367736816,-186.15036773681595
174.24225368499754,-1424.2253684997536,-222.22536849975359
174.60300369262694,-1460.3003692626942,-258.3003692626942
174.96375370025635,-1496.3753700256348,-294.37537002563477
175.32450370788575,-1532.4503707885754,-330.45037078857536
175.68525371551513,-1568.5253715515132,-366.5253715515132
176.0460037231445,-1604.6003723144509,-402.60037231445085
176.40675373077391,-1640.6753730773914,-438.67537307739144
176.76750373840332,-1676.750373840332,-474.75037384033203
177.12825374603273,-1712.8253746032726,-510.8253746032726
177.4890037536621,-1748.9003753662105,-546.9003753662105
177.84975376129148,-1784.9753761291481,-582.9753761291481
178.2105037689209,-1821.0503768920887,-619.0503768920887
178.5712537765503,-1857.1253776550293,-655.1253776550293
178.9320037841797,-1893.20037841797,-691.2003784179699
179.29275379180908,-1929.2753791809077,-727.2753791809077
179.65350379943845,-1965.3503799438454,-763.3503799438454
180.01425380706786,-2001.425380706786,-799.425380706786
180.37500381469727,-2037.5003814697266,-835.5003814697266
180.73575382232667,-2073.575382232667,-871.5753822326669
181.09650382995605,-2109.650382995605,-907.650382995605
181.45725383758543,-2145.7253837585426,-943.7253837585426
181.81800384521483,-2181.8003845214835,-979.8003845214835
