strategy,n_paths,sigma_used,drift_used,horizon_years,prob_of_profit,expected_pnl,median_pnl,std_pnl,min_pnl,max_pnl,var_95,var_99,cvar_95,cvar_99
Short Straddle,20000,0.7188399327455758,0.04,0.0821917808219178,0.57595,-22.018848380382554,367.49488177130206,1871.857268915917,-18289.545629839147,2362.8765080001076,3473.9585634061127,6223.9865980773975,5146.126568312163,7970.308696477732
Short Strangle,20000,0.7414136255608758,0.04,0.0821917808219178,0.63305,-8.80143497862607,685.3087891995831,1666.3307718457522,-18812.748449184513,1202.0,3245.866043748689,6105.122927001847,4985.659977245725,7935.5534548970545
Iron Condor,20000,0.7892597748908264,0.04,0.0821917808219178,0.70505,-62.96803414700695,375.0,723.6636804489953,-1625.000000000001,375.0,1625.0,1625.0000000000002,1625.0,1625.0000000000002
Calendar Spread,20000,0.6790240552441124,0.04,0.0821917808219178,0.49335,29.574533269712422,-7.2005170476722355,341.39156308762927,-503.96916542234425,707.7003012170117,445.497530597354,494.1227255321931,476.0776753703019,499.1674789752274
