ticker,as_of,spot,computed_vix,reference_index,reference_value,near_expiry,next_expiry,near_sigma2,next_sigma2,near_forward,near_k0,next_forward,next_k0,near_num_strikes,next_num_strikes
SPY,2026-05-13T10:25:57,738.1799926757812,17.724768471045955,^VIX (CBOE 30-day SPX IV),17.920000076293945,2026-06-12,2026-06-18,0.03137925237096515,0.03620883344309268,739.7592106857086,739.0,739.4177097405246,739.0,85,202
USO,2026-05-13T10:25:58,144.3000030517578,77.74324110934933,^OVX (CBOE 30-day crude IV),75.69000244140625,2026-06-12,2026-06-18,0.604280414161628,0.61983011765316,143.8294409025932,143.0,144.54822307511802,144.0,48,122
